Date,Name,Training,Status
29/08/2022,Shantelle Whiteley,Hand hygiene,Incomplete
20/02/2022,Lynda Howells,IV care,Completed
09/02/2022,Kyla Sparks,Information governance,Unknown
15/03/2022,Lynda Howells,Mouth care,Complete
23/05/2022,Lynda Howells,IV care,Complete
24/05/2022,Kayden Orozco,Mouth care,Incomplete
20/02/2022,Bill Cantu,Mouth care,Incomplete
29/06/2022,Bill Cantu,Information governance,Complete
02/01/2022,Isha Lam,Hand hygiene,Completed
17/08/2022,Kendrick Gill,Information governance,Complete
15/03/2022,Kayden Orozco,Information governance,Incomplete
14/07/2022,Shantelle Whiteley,IV care,Completed
22/03/2022,Kayden Orozco,Hand hygiene,Completed
01/08/2022,Elina Keller,Hand hygiene,Unknown
10/06/2022,Kayden Orozco,Hand hygiene,Unknown
18/03/2022,Tadhg Faulkner,Hand hygiene,Unknown
29/07/2022,Bill Cantu,Information governance,Completed
18/07/2022,Kayden Orozco,Information governance,Unknown
13/03/2022,Isha Lam,Hand hygiene,Incomplete
12/07/2022,Tadhg Faulkner,Information governance,Incomplete
13/06/2022,Kaci Braun,Information governance,Unknown
19/06/2022,Kyla Sparks,Mouth care,Completed
31/03/2022,Lynda Howells,Hand hygiene,Complete
02/04/2022,Myrtle Hoffman,Information governance,Completed
18/06/2022,Vinnie Krueger,Hand hygiene,Complete
07/03/2022,Lynda Howells,Information governance,Complete
20/06/2022,Kayden Orozco,IV care,Unknown
22/08/2022,Kendrick Gill,Information governance,Unknown
28/03/2022,Myrtle Hoffman,IV care,Incomplete
07/07/2022,Shantelle Whiteley,Mouth care,Completed
30/01/2022,Kyla Sparks,IV care,Unknown
03/08/2022,Bill Cantu,Hand hygiene,Incomplete
15/08/2022,Kyla Sparks,Mouth care,Unknown
27/06/2022,Isha Lam,Information governance,Completed
10/05/2022,Tadhg Faulkner,IV care,Incomplete
07/06/2022,Lynda Howells,Information governance,Incomplete
25/07/2022,Isha Lam,IV care,Complete
15/06/2022,Elina Keller,IV care,Completed
12/03/2022,Kaci Braun,IV care,Unknown
15/04/2022,Kyla Sparks,Hand hygiene,Incomplete
15/06/2022,Vinnie Krueger,IV care,Unknown
18/03/2022,Kendrick Gill,Mouth care,Unknown
07/04/2022,Kaci Braun,Hand hygiene,Completed
04/05/2022,Kendrick Gill,Mouth care,Complete
24/05/2022,Tadhg Faulkner,Information governance,Complete
02/07/2022,Kayden Orozco,Mouth care,Unknown
27/07/2022,Kendrick Gill,IV care,Complete
15/07/2022,Kendrick Gill,Mouth care,Incomplete
14/06/2022,Vinnie Krueger,Information governance,Unknown
25/08/2022,Kayden Orozco,Hand hygiene,Complete
03/08/2022,Tadhg Faulkner,Mouth care,Completed
27/08/2022,Kayden Orozco,IV care,Completed
22/03/2022,Kayden Orozco,Information governance,Complete
07/05/2022,Shantelle Whiteley,Mouth care,Complete
09/03/2022,Myrtle Hoffman,IV care,Incomplete
19/08/2022,Shantelle Whiteley,Hand hygiene,Unknown
09/05/2022,Vinnie Krueger,Mouth care,Complete
28/04/2022,Kyla Sparks,Hand hygiene,Complete
01/06/2022,Kaci Braun,IV care,Unknown
28/06/2022,Kyla Sparks,Hand hygiene,Unknown
04/08/2022,Kaci Braun,Mouth care,Incomplete
25/08/2022,Vinnie Krueger,Information governance,Unknown
19/04/2022,Bill Cantu,IV care,Complete
18/01/2022,Shantelle Whiteley,Mouth care,Completed
24/02/2022,Kyla Sparks,IV care,Complete
05/01/2022,Kendrick Gill,IV care,Completed
30/03/2022,Kaci Braun,IV care,Completed
19/07/2022,Myrtle Hoffman,Hand hygiene,Complete
11/04/2022,Isha Lam,Mouth care,Complete
25/01/2022,Lynda Howells,IV care,Incomplete
26/08/2022,Isha Lam,Hand hygiene,Complete
10/03/2022,Myrtle Hoffman,Information governance,Completed
21/08/2022,Isha Lam,Hand hygiene,Completed
18/02/2022,Kayden Orozco,IV care,Incomplete
09/03/2022,Vinnie Krueger,Hand hygiene,Unknown
05/03/2022,Kayden Orozco,Mouth care,Unknown
10/08/2022,Myrtle Hoffman,Information governance,Completed
09/04/2022,Isha Lam,Information governance,Complete
16/06/2022,Elina Keller,Hand hygiene,Unknown
15/05/2022,Kendrick Gill,IV care,Incomplete
04/06/2022,Myrtle Hoffman,IV care,Completed
15/08/2022,Kayden Orozco,Information governance,Incomplete
01/04/2022,Shantelle Whiteley,Hand hygiene,Unknown
12/04/2022,Vinnie Krueger,Hand hygiene,Completed
31/08/2022,Kayden Orozco,Mouth care,Incomplete
02/02/2022,Vinnie Krueger,Hand hygiene,Complete
01/08/2022,Kendrick Gill,Information governance,Complete
18/05/2022,Kaci Braun,IV care,Incomplete
09/04/2022,Tadhg Faulkner,Hand hygiene,Complete
29/04/2022,Kyla Sparks,Mouth care,Unknown
16/02/2022,Shantelle Whiteley,Information governance,Incomplete
23/08/2022,Kaci Braun,Mouth care,Completed
17/01/2022,Isha Lam,Hand hygiene,Unknown
08/08/2022,Kendrick Gill,Hand hygiene,Completed
18/06/2022,Isha Lam,IV care,Incomplete
04/07/2022,Vinnie Krueger,Mouth care,Incomplete
10/01/2022,Elina Keller,Information governance,Incomplete
25/08/2022,Kendrick Gill,IV care,Completed
22/03/2022,Kendrick Gill,Mouth care,Completed
10/06/2022,Shantelle Whiteley,Mouth care,Completed
02/02/2022,Kayden Orozco,IV care,Unknown
07/08/2022,Kendrick Gill,Hand hygiene,Complete
29/04/2022,Elina Keller,Hand hygiene,Complete
30/04/2022,Lynda Howells,IV care,Complete
20/05/2022,Myrtle Hoffman,Hand hygiene,Incomplete
02/04/2022,Elina Keller,Information governance,Complete
05/01/2022,Shantelle Whiteley,Mouth care,Incomplete
11/04/2022,Kyla Sparks,Hand hygiene,Unknown
08/02/2022,Bill Cantu,Mouth care,Completed
05/03/2022,Kendrick Gill,Mouth care,Unknown
10/01/2022,Kyla Sparks,Hand hygiene,Unknown
28/08/2022,Kayden Orozco,Information governance,Complete
06/08/2022,Myrtle Hoffman,IV care,Incomplete
22/03/2022,Lynda Howells,IV care,Incomplete
14/03/2022,Kaci Braun,Mouth care,Completed
16/04/2022,Kaci Braun,IV care,Incomplete
23/07/2022,Shantelle Whiteley,Information governance,Complete
03/04/2022,Elina Keller,IV care,Completed
13/03/2022,Myrtle Hoffman,IV care,Completed
29/07/2022,Kendrick Gill,Hand hygiene,Completed
09/06/2022,Elina Keller,IV care,Unknown
14/04/2022,Tadhg Faulkner,Hand hygiene,Completed
21/05/2022,Kyla Sparks,Mouth care,Completed
29/08/2022,Vinnie Krueger,Hand hygiene,Complete
07/02/2022,Isha Lam,Mouth care,Completed
01/04/2022,Shantelle Whiteley,IV care,Complete
21/04/2022,Myrtle Hoffman,Information governance,Incomplete
04/02/2022,Kaci Braun,Mouth care,Incomplete
15/03/2022,Isha Lam,Hand hygiene,Complete
18/06/2022,Myrtle Hoffman,Information governance,Completed
02/05/2022,Kayden Orozco,Information governance,Incomplete
02/06/2022,Lynda Howells,Information governance,Completed
21/04/2022,Kyla Sparks,Hand hygiene,Incomplete
11/08/2022,Kayden Orozco,Information governance,Completed
16/01/2022,Lynda Howells,Information governance,Unknown
07/04/2022,Tadhg Faulkner,IV care,Unknown
18/06/2022,Bill Cantu,Hand hygiene,Complete
04/06/2022,Isha Lam,Information governance,Incomplete
11/02/2022,Myrtle Hoffman,Hand hygiene,Unknown
19/08/2022,Elina Keller,IV care,Complete
07/02/2022,Isha Lam,Mouth care,Unknown
03/05/2022,Lynda Howells,Mouth care,Unknown
10/03/2022,Kaci Braun,Information governance,Completed
07/08/2022,Isha Lam,Information governance,Incomplete
13/07/2022,Kendrick Gill,IV care,Complete
09/07/2022,Isha Lam,Mouth care,Unknown
10/06/2022,Kendrick Gill,Mouth care,Unknown
23/03/2022,Tadhg Faulkner,Mouth care,Incomplete
11/03/2022,Lynda Howells,IV care,Incomplete
22/02/2022,Kyla Sparks,Information governance,Complete
12/01/2022,Lynda Howells,Information governance,Incomplete
24/06/2022,Lynda Howells,IV care,Completed
27/03/2022,Kaci Braun,Mouth care,Incomplete
04/02/2022,Kyla Sparks,Information governance,Incomplete
30/01/2022,Kendrick Gill,Hand hygiene,Unknown
02/03/2022,Vinnie Krueger,Information governance,Unknown
03/02/2022,Elina Keller,IV care,Incomplete
15/01/2022,Isha Lam,Information governance,Complete
26/04/2022,Vinnie Krueger,Information governance,Completed
12/01/2022,Isha Lam,Mouth care,Complete
29/04/2022,Lynda Howells,Information governance,Completed
04/08/2022,Kaci Braun,Information governance,Unknown
05/07/2022,Bill Cantu,IV care,Complete
29/04/2022,Isha Lam,Hand hygiene,Completed
18/01/2022,Vinnie Krueger,IV care,Incomplete
17/02/2022,Kayden Orozco,Information governance,Complete
06/04/2022,Kendrick Gill,IV care,Unknown
08/01/2022,Kayden Orozco,Mouth care,Incomplete
04/06/2022,Kayden Orozco,IV care,Incomplete
02/01/2022,Vinnie Krueger,IV care,Incomplete
15/05/2022,Kendrick Gill,Mouth care,Completed
01/03/2022,Bill Cantu,Mouth care,Incomplete
12/05/2022,Tadhg Faulkner,Information governance,Completed
09/01/2022,Kyla Sparks,Hand hygiene,Incomplete
03/08/2022,Kayden Orozco,Mouth care,Unknown
26/01/2022,Vinnie Krueger,IV care,Incomplete
28/05/2022,Shantelle Whiteley,Mouth care,Completed
16/01/2022,Lynda Howells,Information governance,Complete
05/08/2022,Myrtle Hoffman,Mouth care,Complete
30/04/2022,Kendrick Gill,Hand hygiene,Completed
16/03/2022,Shantelle Whiteley,Information governance,Unknown
04/01/2022,Isha Lam,Hand hygiene,Incomplete
12/03/2022,Kendrick Gill,IV care,Incomplete
18/02/2022,Kyla Sparks,Hand hygiene,Completed
29/08/2022,Isha Lam,Hand hygiene,Unknown
01/03/2022,Shantelle Whiteley,Information governance,Complete
17/04/2022,Tadhg Faulkner,Hand hygiene,Complete
25/01/2022,Vinnie Krueger,Hand hygiene,Complete
29/01/2022,Kayden Orozco,Hand hygiene,Completed
21/06/2022,Lynda Howells,Mouth care,Complete
19/04/2022,Vinnie Krueger,Mouth care,Incomplete
26/05/2022,Vinnie Krueger,Hand hygiene,Incomplete
13/04/2022,Tadhg Faulkner,Mouth care,Completed
16/04/2022,Lynda Howells,Mouth care,Complete
03/07/2022,Kendrick Gill,Mouth care,Completed
12/06/2022,Kayden Orozco,IV care,Unknown
27/03/2022,Shantelle Whiteley,IV care,Completed
27/02/2022,Tadhg Faulkner,IV care,Completed
19/05/2022,Kayden Orozco,Hand hygiene,Complete
10/05/2022,Myrtle Hoffman,IV care,Completed
02/04/2022,Vinnie Krueger,Information governance,Unknown
03/01/2022,Kayden Orozco,IV care,Unknown
22/03/2022,Kendrick Gill,IV care,Completed
07/06/2022,Kayden Orozco,Information governance,Unknown
11/05/2022,Isha Lam,Mouth care,Unknown
10/08/2022,Isha Lam,Information governance,Incomplete
10/04/2022,Lynda Howells,IV care,Complete
02/02/2022,Vinnie Krueger,Mouth care,Completed
04/04/2022,Shantelle Whiteley,Mouth care,Complete
15/06/2022,Elina Keller,Mouth care,Incomplete
16/02/2022,Kyla Sparks,IV care,Incomplete
06/04/2022,Isha Lam,Hand hygiene,Completed
13/06/2022,Myrtle Hoffman,IV care,Complete
27/01/2022,Kaci Braun,IV care,Incomplete
23/02/2022,Vinnie Krueger,Mouth care,Completed
23/04/2022,Tadhg Faulkner,Information governance,Complete
17/05/2022,Bill Cantu,Hand hygiene,Completed
09/02/2022,Elina Keller,Hand hygiene,Completed
12/03/2022,Vinnie Krueger,IV care,Incomplete
08/03/2022,Myrtle Hoffman,Information governance,Completed
14/03/2022,Shantelle Whiteley,Hand hygiene,Complete
11/03/2022,Kaci Braun,Information governance,Completed
07/01/2022,Isha Lam,Mouth care,Incomplete
25/05/2022,Kyla Sparks,IV care,Incomplete
02/06/2022,Kendrick Gill,Mouth care,Complete
21/06/2022,Kendrick Gill,Mouth care,Completed
03/07/2022,Isha Lam,Mouth care,Complete
12/07/2022,Isha Lam,IV care,Unknown
30/08/2022,Elina Keller,IV care,Complete
25/01/2022,Shantelle Whiteley,Mouth care,Incomplete
26/07/2022,Myrtle Hoffman,Information governance,Incomplete
18/01/2022,Bill Cantu,Mouth care,Incomplete
02/05/2022,Tadhg Faulkner,Hand hygiene,Incomplete
07/06/2022,Shantelle Whiteley,Mouth care,Completed
10/05/2022,Kyla Sparks,Information governance,Incomplete
25/08/2022,Kyla Sparks,Mouth care,Completed
10/07/2022,Tadhg Faulkner,Mouth care,Incomplete
03/03/2022,Tadhg Faulkner,Hand hygiene,Incomplete
21/07/2022,Kendrick Gill,Information governance,Complete
06/03/2022,Kayden Orozco,Information governance,Completed
08/01/2022,Kendrick Gill,IV care,Unknown
15/01/2022,Kyla Sparks,Mouth care,Unknown
25/02/2022,Tadhg Faulkner,Information governance,Completed
16/06/2022,Isha Lam,IV care,Completed
07/07/2022,Myrtle Hoffman,Information governance,Completed
18/08/2022,Kendrick Gill,Hand hygiene,Incomplete
09/04/2022,Kayden Orozco,IV care,Completed
04/01/2022,Elina Keller,Information governance,Incomplete
18/03/2022,Lynda Howells,Hand hygiene,Incomplete
06/03/2022,Kayden Orozco,IV care,Unknown
19/07/2022,Kaci Braun,Hand hygiene,Completed
25/01/2022,Bill Cantu,Hand hygiene,Unknown
30/08/2022,Kayden Orozco,Mouth care,Complete
07/06/2022,Kyla Sparks,IV care,Unknown
19/03/2022,Isha Lam,Hand hygiene,Complete
26/05/2022,Elina Keller,Mouth care,Complete
01/08/2022,Shantelle Whiteley,Information governance,Completed
27/07/2022,Kendrick Gill,IV care,Completed
08/02/2022,Kendrick Gill,Hand hygiene,Incomplete
16/04/2022,Lynda Howells,IV care,Complete
18/07/2022,Kaci Braun,Mouth care,Completed
19/03/2022,Myrtle Hoffman,Hand hygiene,Incomplete
27/03/2022,Myrtle Hoffman,IV care,Unknown
10/04/2022,Kayden Orozco,IV care,Incomplete
26/08/2022,Myrtle Hoffman,IV care,Completed
06/07/2022,Elina Keller,Hand hygiene,Complete
21/04/2022,Lynda Howells,Hand hygiene,Complete
18/08/2022,Kaci Braun,IV care,Complete
04/07/2022,Kaci Braun,Hand hygiene,Unknown
20/05/2022,Kayden Orozco,IV care,Completed
01/06/2022,Myrtle Hoffman,Mouth care,Unknown
06/05/2022,Tadhg Faulkner,Information governance,Incomplete
02/08/2022,Kaci Braun,IV care,Incomplete
19/07/2022,Kaci Braun,Hand hygiene,Completed
22/08/2022,Myrtle Hoffman,IV care,Incomplete
17/06/2022,Kyla Sparks,Mouth care,Complete
27/02/2022,Shantelle Whiteley,Hand hygiene,Completed
22/06/2022,Shantelle Whiteley,IV care,Complete
20/03/2022,Isha Lam,IV care,Unknown
04/05/2022,Shantelle Whiteley,Information governance,Complete
21/06/2022,Shantelle Whiteley,Information governance,Completed
07/07/2022,Shantelle Whiteley,Hand hygiene,Unknown
08/06/2022,Kayden Orozco,Mouth care,Completed
03/01/2022,Isha Lam,Hand hygiene,Incomplete
28/05/2022,Elina Keller,IV care,Incomplete
16/04/2022,Kyla Sparks,Mouth care,Incomplete
28/05/2022,Kaci Braun,Hand hygiene,Completed
14/02/2022,Kendrick Gill,Hand hygiene,Complete
19/03/2022,Shantelle Whiteley,Mouth care,Unknown
12/01/2022,Kendrick Gill,Hand hygiene,Completed
14/02/2022,Bill Cantu,IV care,Complete
12/03/2022,Kaci Braun,Hand hygiene,Completed
26/04/2022,Shantelle Whiteley,Mouth care,Complete
23/06/2022,Myrtle Hoffman,IV care,Complete
19/07/2022,Kaci Braun,IV care,Unknown
23/04/2022,Kayden Orozco,IV care,Complete
18/05/2022,Kendrick Gill,Hand hygiene,Unknown
25/03/2022,Kyla Sparks,IV care,Incomplete
28/08/2022,Shantelle Whiteley,Information governance,Unknown
18/08/2022,Shantelle Whiteley,Hand hygiene,Unknown
16/02/2022,Kayden Orozco,Hand hygiene,Unknown
29/07/2022,Bill Cantu,Mouth care,Incomplete
15/06/2022,Bill Cantu,IV care,Complete
17/07/2022,Vinnie Krueger,Hand hygiene,Completed
22/07/2022,Elina Keller,Hand hygiene,Complete
10/05/2022,Kendrick Gill,Mouth care,Complete
30/06/2022,Lynda Howells,Information governance,Complete
31/07/2022,Lynda Howells,Information governance,Incomplete
30/08/2022,Kaci Braun,Information governance,Unknown
29/06/2022,Shantelle Whiteley,Hand hygiene,Incomplete
19/05/2022,Kayden Orozco,Hand hygiene,Incomplete
29/07/2022,Kyla Sparks,IV care,Unknown
15/01/2022,Vinnie Krueger,IV care,Completed
14/06/2022,Kendrick Gill,IV care,Complete
05/02/2022,Vinnie Krueger,IV care,Complete
15/02/2022,Kayden Orozco,IV care,Unknown
18/07/2022,Lynda Howells,Hand hygiene,Incomplete
28/02/2022,Vinnie Krueger,Information governance,Unknown
25/05/2022,Kyla Sparks,IV care,Incomplete
12/01/2022,Tadhg Faulkner,Information governance,Complete
22/02/2022,Shantelle Whiteley,Information governance,Complete
21/07/2022,Lynda Howells,Mouth care,Incomplete
01/02/2022,Myrtle Hoffman,Hand hygiene,Incomplete
25/05/2022,Isha Lam,Information governance,Complete
07/07/2022,Kayden Orozco,Hand hygiene,Completed
19/04/2022,Bill Cantu,IV care,Completed
30/05/2022,Kyla Sparks,Hand hygiene,Unknown
25/04/2022,Tadhg Faulkner,Hand hygiene,Unknown
04/07/2022,Myrtle Hoffman,Information governance,Incomplete
12/05/2022,Lynda Howells,Mouth care,Complete
16/05/2022,Vinnie Krueger,Mouth care,Complete
23/01/2022,Kendrick Gill,Information governance,Completed
24/03/2022,Elina Keller,Information governance,Complete
22/02/2022,Kaci Braun,Hand hygiene,Unknown
26/05/2022,Shantelle Whiteley,Hand hygiene,Incomplete
14/01/2022,Tadhg Faulkner,Mouth care,Unknown
03/07/2022,Kayden Orozco,Mouth care,Completed
07/05/2022,Kyla Sparks,Information governance,Incomplete
28/04/2022,Bill Cantu,Mouth care,Incomplete
06/01/2022,Kayden Orozco,Mouth care,Unknown
10/07/2022,Lynda Howells,Information governance,Unknown
25/03/2022,Tadhg Faulkner,Hand hygiene,Incomplete
10/01/2022,Kendrick Gill,Hand hygiene,Completed
21/06/2022,Vinnie Krueger,Mouth care,Unknown
18/06/2022,Shantelle Whiteley,Hand hygiene,Complete
16/07/2022,Tadhg Faulkner,Mouth care,Completed
11/03/2022,Kayden Orozco,IV care,Unknown
17/08/2022,Tadhg Faulkner,Mouth care,Incomplete
23/05/2022,Isha Lam,Information governance,Complete
08/04/2022,Elina Keller,IV care,Completed
12/01/2022,Tadhg Faulkner,Hand hygiene,Completed
22/02/2022,Kyla Sparks,IV care,Unknown
13/03/2022,Lynda Howells,Mouth care,Completed
21/01/2022,Vinnie Krueger,Hand hygiene,Unknown
14/07/2022,Tadhg Faulkner,IV care,Completed
07/07/2022,Isha Lam,Hand hygiene,Complete
05/02/2022,Kaci Braun,IV care,Completed
23/08/2022,Lynda Howells,IV care,Complete
07/06/2022,Kendrick Gill,IV care,Complete
20/06/2022,Elina Keller,Mouth care,Completed
16/08/2022,Bill Cantu,Mouth care,Incomplete
18/03/2022,Lynda Howells,Mouth care,Incomplete
29/07/2022,Elina Keller,Hand hygiene,Completed
22/08/2022,Kayden Orozco,Mouth care,Complete
22/01/2022,Vinnie Krueger,Mouth care,Unknown
26/03/2022,Elina Keller,Hand hygiene,Unknown
10/04/2022,Kendrick Gill,Information governance,Unknown
11/03/2022,Kaci Braun,Hand hygiene,Unknown
29/03/2022,Kyla Sparks,Mouth care,Completed
01/08/2022,Elina Keller,Hand hygiene,Unknown
23/05/2022,Myrtle Hoffman,IV care,Completed
24/07/2022,Kyla Sparks,Information governance,Incomplete
13/04/2022,Lynda Howells,Hand hygiene,Complete
07/07/2022,Bill Cantu,IV care,Incomplete
30/01/2022,Kyla Sparks,IV care,Incomplete
11/06/2022,Kyla Sparks,Hand hygiene,Complete
04/01/2022,Vinnie Krueger,Hand hygiene,Unknown
13/08/2022,Bill Cantu,Information governance,Complete
17/02/2022,Tadhg Faulkner,IV care,Complete
21/04/2022,Shantelle Whiteley,Mouth care,Unknown
16/08/2022,Bill Cantu,Mouth care,Unknown
16/01/2022,Vinnie Krueger,Information governance,Complete
19/01/2022,Lynda Howells,Mouth care,Incomplete
03/07/2022,Shantelle Whiteley,Hand hygiene,Completed
24/01/2022,Vinnie Krueger,Information governance,Unknown
17/06/2022,Kendrick Gill,Hand hygiene,Unknown
29/05/2022,Kendrick Gill,Hand hygiene,Complete
07/07/2022,Isha Lam,Information governance,Completed
04/08/2022,Isha Lam,Hand hygiene,Completed
03/04/2022,Kaci Braun,IV care,Unknown
13/01/2022,Kendrick Gill,Hand hygiene,Unknown
13/02/2022,Elina Keller,Information governance,Completed
18/07/2022,Myrtle Hoffman,Hand hygiene,Complete
22/02/2022,Kyla Sparks,Information governance,Complete
15/05/2022,Elina Keller,IV care,Completed
06/08/2022,Tadhg Faulkner,IV care,Incomplete
07/05/2022,Tadhg Faulkner,Hand hygiene,Unknown
20/08/2022,Kyla Sparks,IV care,Incomplete
10/04/2022,Kaci Braun,Mouth care,Complete
