Date,Name,Training,Status
18/10/2022,Elina Keller,Hand hygiene,Complete
09/09/2022,Elina Keller,Mouth care,Complete
31/10/2022,Kendrick Gill,Information governance,Completed
10/09/2022,Isha Lam,IV care,Complete
16/10/2022,Shantelle Whiteley,Information governance,Unknown
22/10/2022,Myrtle Hoffman,IV care,Completed
01/09/2022,Kendrick Gill,Information governance,Completed
09/09/2022,Kaci Braun,IV care,Unknown
13/09/2022,Shantelle Whiteley,Information governance,Complete
27/09/2022,Kayden Orozco,IV care,Complete
12/10/2022,Kyla Sparks,Information governance,Complete
26/09/2022,Kaci Braun,Information governance,Complete
03/09/2022,Kyla Sparks,IV care,Unknown
09/10/2022,Shantelle Whiteley,IV care,Incomplete
13/10/2022,Kayden Orozco,Information governance,Completed
04/10/2022,Myrtle Hoffman,Mouth care,Incomplete
19/09/2022,Myrtle Hoffman,IV care,Unknown
11/10/2022,Myrtle Hoffman,Mouth care,Incomplete
12/10/2022,Isha Lam,Hand hygiene,Complete
19/09/2022,Myrtle Hoffman,Mouth care,Completed
28/10/2022,Elina Keller,Hand hygiene,Unknown
27/09/2022,Lynda Howells,IV care,Complete
15/10/2022,Kyla Sparks,Information governance,Complete
17/09/2022,Kyla Sparks,Information governance,Completed
12/09/2022,Myrtle Hoffman,IV care,Completed
05/10/2022,Lynda Howells,Hand hygiene,Unknown
05/09/2022,Kaci Braun,Hand hygiene,Unknown
17/09/2022,Kayden Orozco,IV care,Completed
21/09/2022,Tadhg Faulkner,IV care,Completed
03/10/2022,Kayden Orozco,Mouth care,Complete
30/10/2022,Kendrick Gill,Mouth care,Unknown
26/09/2022,Shantelle Whiteley,Mouth care,Incomplete
05/09/2022,Vinnie Krueger,IV care,Completed
09/09/2022,Isha Lam,Hand hygiene,Completed
24/10/2022,Bill Cantu,Mouth care,Incomplete
15/10/2022,Vinnie Krueger,Hand hygiene,Unknown
16/09/2022,Shantelle Whiteley,Information governance,Incomplete
22/09/2022,Elina Keller,Hand hygiene,Incomplete
25/10/2022,Elina Keller,IV care,Incomplete
17/09/2022,Lynda Howells,Mouth care,Completed
09/10/2022,Bill Cantu,IV care,Unknown
03/10/2022,Elina Keller,Information governance,Complete
25/09/2022,Kyla Sparks,Information governance,Complete
04/10/2022,Kyla Sparks,Hand hygiene,Complete
06/09/2022,Lynda Howells,Information governance,Complete
21/10/2022,Kayden Orozco,Hand hygiene,Complete
23/09/2022,Elina Keller,Information governance,Complete
14/10/2022,Tadhg Faulkner,Mouth care,Unknown
09/09/2022,Tadhg Faulkner,Hand hygiene,Incomplete
05/10/2022,Kendrick Gill,Mouth care,Complete
23/10/2022,Myrtle Hoffman,Hand hygiene,Complete
16/09/2022,Kayden Orozco,Hand hygiene,Completed
15/09/2022,Kendrick Gill,Information governance,Complete
12/09/2022,Shantelle Whiteley,Information governance,Unknown
01/11/2022,Myrtle Hoffman,IV care,Complete
30/09/2022,Bill Cantu,Hand hygiene,Completed
26/10/2022,Myrtle Hoffman,Mouth care,Incomplete
08/09/2022,Kyla Sparks,Hand hygiene,Unknown
13/09/2022,Elina Keller,Information governance,Completed
13/09/2022,Isha Lam,Hand hygiene,Completed
29/09/2022,Kendrick Gill,IV care,Unknown
05/09/2022,Lynda Howells,IV care,Complete
09/09/2022,Kyla Sparks,Mouth care,Complete
03/10/2022,Kaci Braun,Mouth care,Completed
10/10/2022,Kaci Braun,IV care,Completed
11/09/2022,Kendrick Gill,Information governance,Incomplete
07/10/2022,Isha Lam,Mouth care,Completed
26/10/2022,Kayden Orozco,Mouth care,Completed
26/09/2022,Tadhg Faulkner,Mouth care,Incomplete
13/09/2022,Vinnie Krueger,Mouth care,Incomplete
02/09/2022,Myrtle Hoffman,Mouth care,Completed
18/10/2022,Shantelle Whiteley,Mouth care,Completed
20/10/2022,Bill Cantu,Mouth care,Incomplete
14/09/2022,Bill Cantu,Hand hygiene,Complete
05/10/2022,Kaci Braun,Information governance,Complete
21/10/2022,Shantelle Whiteley,IV care,Complete
01/10/2022,Isha Lam,Hand hygiene,Completed
09/10/2022,Vinnie Krueger,Information governance,Unknown
04/10/2022,Bill Cantu,Information governance,Unknown
12/10/2022,Kyla Sparks,Hand hygiene,Incomplete
16/09/2022,Shantelle Whiteley,Information governance,Unknown
21/09/2022,Isha Lam,IV care,Incomplete
05/09/2022,Lynda Howells,Hand hygiene,Completed
01/11/2022,Tadhg Faulkner,IV care,Unknown
30/09/2022,Isha Lam,Mouth care,Completed
11/10/2022,Elina Keller,Hand hygiene,Completed
07/10/2022,Tadhg Faulkner,Hand hygiene,Complete
02/10/2022,Kendrick Gill,Mouth care,Completed
20/09/2022,Vinnie Krueger,Information governance,Incomplete
15/10/2022,Shantelle Whiteley,Hand hygiene,Unknown
01/11/2022,Myrtle Hoffman,Information governance,Completed
30/09/2022,Kendrick Gill,Mouth care,Unknown
18/09/2022,Vinnie Krueger,Information governance,Unknown
03/09/2022,Kaci Braun,Hand hygiene,Incomplete
12/10/2022,Vinnie Krueger,Information governance,Completed
01/10/2022,Vinnie Krueger,Hand hygiene,Complete
10/09/2022,Lynda Howells,IV care,Unknown
22/10/2022,Kendrick Gill,Information governance,Completed
10/09/2022,Kendrick Gill,Information governance,Unknown
11/09/2022,Tadhg Faulkner,Mouth care,Completed
24/10/2022,Isha Lam,Hand hygiene,Complete
27/10/2022,Shantelle Whiteley,Mouth care,Complete
28/10/2022,Tadhg Faulkner,Hand hygiene,Completed
24/09/2022,Kyla Sparks,Information governance,Complete
26/09/2022,Shantelle Whiteley,Information governance,Incomplete
06/09/2022,Vinnie Krueger,IV care,Completed
14/10/2022,Myrtle Hoffman,Mouth care,Incomplete
24/09/2022,Vinnie Krueger,Mouth care,Incomplete
06/09/2022,Myrtle Hoffman,Information governance,Unknown
03/09/2022,Elina Keller,Hand hygiene,Complete
30/09/2022,Lynda Howells,IV care,Incomplete
31/10/2022,Kendrick Gill,Hand hygiene,Complete
23/09/2022,Elina Keller,Hand hygiene,Incomplete
01/09/2022,Myrtle Hoffman,Information governance,Incomplete
06/10/2022,Elina Keller,IV care,Unknown
02/10/2022,Bill Cantu,Mouth care,Complete
12/09/2022,Kendrick Gill,Information governance,Incomplete
21/10/2022,Elina Keller,IV care,Unknown
01/09/2022,Kendrick Gill,Mouth care,Completed
07/10/2022,Kayden Orozco,Information governance,Unknown
29/09/2022,Kaci Braun,Mouth care,Complete
19/10/2022,Vinnie Krueger,IV care,Complete
21/10/2022,Kendrick Gill,IV care,Unknown
21/10/2022,Myrtle Hoffman,Information governance,Completed
02/10/2022,Kaci Braun,Mouth care,Incomplete
14/09/2022,Bill Cantu,IV care,Completed
30/09/2022,Myrtle Hoffman,IV care,Unknown
12/09/2022,Lynda Howells,Information governance,Completed
26/09/2022,Kendrick Gill,Hand hygiene,Incomplete
12/10/2022,Isha Lam,Information governance,Completed
07/10/2022,Isha Lam,IV care,Unknown
20/09/2022,Isha Lam,IV care,Completed
13/10/2022,Lynda Howells,IV care,Complete
15/10/2022,Kyla Sparks,Mouth care,Completed
08/09/2022,Bill Cantu,Hand hygiene,Completed
08/09/2022,Elina Keller,Information governance,Completed
15/09/2022,Kendrick Gill,Information governance,Complete
06/09/2022,Shantelle Whiteley,Mouth care,Unknown
30/10/2022,Shantelle Whiteley,IV care,Complete
05/10/2022,Kayden Orozco,Mouth care,Complete
10/09/2022,Kayden Orozco,Mouth care,Completed
02/10/2022,Kayden Orozco,Information governance,Completed
26/10/2022,Myrtle Hoffman,IV care,Unknown
23/09/2022,Kayden Orozco,Mouth care,Completed
18/10/2022,Kyla Sparks,Hand hygiene,Unknown
17/10/2022,Lynda Howells,IV care,Unknown
17/09/2022,Kayden Orozco,IV care,Incomplete
07/10/2022,Lynda Howells,Mouth care,Completed
14/10/2022,Kendrick Gill,Information governance,Incomplete
01/11/2022,Lynda Howells,IV care,Unknown
03/09/2022,Kyla Sparks,Hand hygiene,Incomplete
05/10/2022,Kyla Sparks,Mouth care,Unknown
18/09/2022,Lynda Howells,Hand hygiene,Complete
16/10/2022,Kendrick Gill,Information governance,Incomplete
01/09/2022,Myrtle Hoffman,Mouth care,Complete
15/10/2022,Lynda Howells,Hand hygiene,Incomplete
06/10/2022,Kendrick Gill,Hand hygiene,Complete
03/10/2022,Elina Keller,Hand hygiene,Complete
06/10/2022,Isha Lam,IV care,Complete
17/09/2022,Shantelle Whiteley,IV care,Complete
27/10/2022,Bill Cantu,Information governance,Complete
05/10/2022,Elina Keller,Mouth care,Complete
12/10/2022,Kayden Orozco,IV care,Completed
19/09/2022,Shantelle Whiteley,IV care,Incomplete
03/09/2022,Isha Lam,Mouth care,Unknown
20/10/2022,Kendrick Gill,Mouth care,Unknown
14/10/2022,Kyla Sparks,IV care,Incomplete
01/10/2022,Isha Lam,IV care,Unknown
14/10/2022,Tadhg Faulkner,Information governance,Complete
05/09/2022,Myrtle Hoffman,Mouth care,Unknown
28/10/2022,Kayden Orozco,Mouth care,Complete
15/09/2022,Kayden Orozco,Mouth care,Incomplete
01/10/2022,Lynda Howells,Mouth care,Completed
29/10/2022,Bill Cantu,Information governance,Complete
16/09/2022,Tadhg Faulkner,IV care,Incomplete
19/09/2022,Kayden Orozco,IV care,Completed
01/11/2022,Kendrick Gill,Information governance,Incomplete
19/10/2022,Shantelle Whiteley,Hand hygiene,Unknown
01/10/2022,Isha Lam,IV care,Completed
26/10/2022,Tadhg Faulkner,Hand hygiene,Unknown
26/10/2022,Kaci Braun,Hand hygiene,Completed
26/10/2022,Bill Cantu,Information governance,Unknown
05/10/2022,Elina Keller,IV care,Unknown
01/11/2022,Tadhg Faulkner,IV care,Unknown
29/10/2022,Kaci Braun,Information governance,Unknown
29/09/2022,Kendrick Gill,Mouth care,Incomplete
09/09/2022,Myrtle Hoffman,IV care,Incomplete
13/10/2022,Kyla Sparks,IV care,Completed
08/10/2022,Isha Lam,IV care,Completed
02/09/2022,Isha Lam,Mouth care,Complete
28/10/2022,Kendrick Gill,Information governance,Complete
20/09/2022,Kyla Sparks,Information governance,Completed
27/09/2022,Kaci Braun,Mouth care,Completed
22/09/2022,Kaci Braun,Hand hygiene,Incomplete
09/09/2022,Isha Lam,Hand hygiene,Incomplete
26/10/2022,Kendrick Gill,Mouth care,Complete
20/10/2022,Vinnie Krueger,IV care,Unknown
05/10/2022,Vinnie Krueger,Information governance,Incomplete
06/09/2022,Vinnie Krueger,Hand hygiene,Unknown
23/10/2022,Vinnie Krueger,Hand hygiene,Incomplete
25/09/2022,Kyla Sparks,Mouth care,Incomplete
09/10/2022,Shantelle Whiteley,Information governance,Complete
23/09/2022,Lynda Howells,Information governance,Unknown
04/09/2022,Isha Lam,Mouth care,Completed
21/09/2022,Bill Cantu,Mouth care,Complete
01/10/2022,Isha Lam,Information governance,Complete
25/09/2022,Vinnie Krueger,Mouth care,Incomplete
12/10/2022,Kyla Sparks,Information governance,Completed
26/09/2022,Kaci Braun,Information governance,Unknown
02/09/2022,Shantelle Whiteley,IV care,Completed
09/10/2022,Elina Keller,Mouth care,Incomplete
26/09/2022,Lynda Howells,Hand hygiene,Complete
29/10/2022,Vinnie Krueger,IV care,Completed
18/09/2022,Kyla Sparks,Information governance,Unknown
06/10/2022,Vinnie Krueger,IV care,Unknown
16/09/2022,Tadhg Faulkner,IV care,Complete
04/10/2022,Myrtle Hoffman,Hand hygiene,Completed
05/09/2022,Kendrick Gill,IV care,Incomplete
11/09/2022,Tadhg Faulkner,Hand hygiene,Unknown
14/10/2022,Isha Lam,Mouth care,Complete
06/09/2022,Elina Keller,IV care,Unknown
02/09/2022,Kayden Orozco,Mouth care,Incomplete
21/09/2022,Isha Lam,Information governance,Completed
21/10/2022,Shantelle Whiteley,Information governance,Completed
17/10/2022,Shantelle Whiteley,IV care,Completed
08/09/2022,Elina Keller,Hand hygiene,Unknown
16/09/2022,Kaci Braun,IV care,Incomplete
27/10/2022,Kyla Sparks,Mouth care,Completed
01/09/2022,Tadhg Faulkner,Mouth care,Unknown
23/10/2022,Elina Keller,IV care,Complete
22/09/2022,Shantelle Whiteley,IV care,Complete
01/10/2022,Vinnie Krueger,Hand hygiene,Incomplete
07/10/2022,Kaci Braun,Information governance,Unknown
27/10/2022,Kayden Orozco,Hand hygiene,Complete
11/09/2022,Kaci Braun,Information governance,Incomplete
20/09/2022,Isha Lam,Hand hygiene,Incomplete
30/10/2022,Lynda Howells,Information governance,Incomplete
12/09/2022,Vinnie Krueger,Hand hygiene,Incomplete
19/09/2022,Isha Lam,IV care,Completed
28/09/2022,Kayden Orozco,Information governance,Incomplete
26/09/2022,Lynda Howells,Mouth care,Complete
01/11/2022,Lynda Howells,Hand hygiene,Complete
26/09/2022,Isha Lam,Information governance,Complete
30/09/2022,Kaci Braun,Information governance,Completed
02/09/2022,Vinnie Krueger,Information governance,Completed
24/09/2022,Myrtle Hoffman,Mouth care,Incomplete
09/09/2022,Tadhg Faulkner,Information governance,Complete
15/09/2022,Kaci Braun,Hand hygiene,Complete
24/10/2022,Isha Lam,Information governance,Incomplete
07/09/2022,Elina Keller,Information governance,Completed
12/10/2022,Kendrick Gill,IV care,Completed
29/10/2022,Vinnie Krueger,Hand hygiene,Unknown
09/09/2022,Kayden Orozco,Hand hygiene,Complete
10/10/2022,Shantelle Whiteley,IV care,Incomplete
05/10/2022,Tadhg Faulkner,Information governance,Incomplete
29/09/2022,Elina Keller,Mouth care,Incomplete
16/10/2022,Bill Cantu,Information governance,Unknown
16/10/2022,Isha Lam,Mouth care,Incomplete
01/11/2022,Kayden Orozco,Hand hygiene,Unknown
20/10/2022,Kaci Braun,Mouth care,Unknown
04/10/2022,Kayden Orozco,IV care,Complete
17/10/2022,Shantelle Whiteley,Mouth care,Unknown
09/10/2022,Isha Lam,Hand hygiene,Completed
20/10/2022,Kaci Braun,Hand hygiene,Incomplete
24/10/2022,Kyla Sparks,Information governance,Unknown
13/09/2022,Kayden Orozco,Hand hygiene,Completed
12/09/2022,Isha Lam,Information governance,Completed
23/10/2022,Bill Cantu,Mouth care,Incomplete
15/10/2022,Tadhg Faulkner,IV care,Completed
09/09/2022,Shantelle Whiteley,Mouth care,Completed
06/10/2022,Bill Cantu,Mouth care,Complete
12/10/2022,Vinnie Krueger,Information governance,Incomplete
21/10/2022,Elina Keller,Hand hygiene,Unknown
29/10/2022,Bill Cantu,Hand hygiene,Completed
11/10/2022,Kyla Sparks,IV care,Unknown
03/09/2022,Lynda Howells,Information governance,Unknown
05/09/2022,Shantelle Whiteley,IV care,Complete
26/10/2022,Vinnie Krueger,Information governance,Complete
20/10/2022,Bill Cantu,IV care,Complete
11/09/2022,Myrtle Hoffman,IV care,Completed
26/09/2022,Myrtle Hoffman,Mouth care,Incomplete
12/09/2022,Kaci Braun,IV care,Completed
06/09/2022,Elina Keller,IV care,Complete
03/09/2022,Kyla Sparks,Hand hygiene,Completed
15/10/2022,Kaci Braun,IV care,Incomplete
21/09/2022,Vinnie Krueger,Information governance,Completed
15/09/2022,Kendrick Gill,Hand hygiene,Unknown
15/10/2022,Vinnie Krueger,Hand hygiene,Incomplete
08/09/2022,Vinnie Krueger,Mouth care,Completed
10/10/2022,Shantelle Whiteley,Information governance,Unknown
15/10/2022,Kaci Braun,Mouth care,Incomplete
05/09/2022,Isha Lam,IV care,Unknown
13/10/2022,Vinnie Krueger,Information governance,Incomplete
15/09/2022,Elina Keller,IV care,Incomplete
20/10/2022,Kaci Braun,Information governance,Unknown
05/09/2022,Elina Keller,Hand hygiene,Completed
04/10/2022,Shantelle Whiteley,IV care,Incomplete
05/10/2022,Vinnie Krueger,IV care,Incomplete
06/10/2022,Tadhg Faulkner,IV care,Completed
27/10/2022,Bill Cantu,IV care,Unknown
27/09/2022,Bill Cantu,IV care,Incomplete
02/09/2022,Kyla Sparks,Mouth care,Complete
27/10/2022,Isha Lam,Information governance,Complete
29/09/2022,Tadhg Faulkner,Information governance,Incomplete
15/09/2022,Vinnie Krueger,Information governance,Complete
22/10/2022,Tadhg Faulkner,Mouth care,Unknown
01/10/2022,Shantelle Whiteley,Hand hygiene,Complete
06/09/2022,Kayden Orozco,IV care,Unknown
04/10/2022,Isha Lam,IV care,Complete
13/09/2022,Kaci Braun,Information governance,Completed
06/09/2022,Tadhg Faulkner,Hand hygiene,Unknown
06/10/2022,Elina Keller,Information governance,Complete
29/10/2022,Shantelle Whiteley,Hand hygiene,Completed
30/09/2022,Kaci Braun,IV care,Completed
09/10/2022,Kyla Sparks,Information governance,Complete
22/10/2022,Vinnie Krueger,Information governance,Completed
21/09/2022,Kyla Sparks,Hand hygiene,Unknown
24/09/2022,Isha Lam,Mouth care,Unknown
23/10/2022,Kyla Sparks,Information governance,Complete
16/09/2022,Elina Keller,IV care,Complete
06/10/2022,Bill Cantu,Information governance,Completed
27/09/2022,Vinnie Krueger,IV care,Complete
09/09/2022,Kayden Orozco,Mouth care,Completed
23/10/2022,Vinnie Krueger,Mouth care,Unknown
09/09/2022,Myrtle Hoffman,IV care,Unknown
25/09/2022,Bill Cantu,Mouth care,Incomplete
27/10/2022,Tadhg Faulkner,Hand hygiene,Completed
14/10/2022,Kyla Sparks,Mouth care,Completed
14/09/2022,Tadhg Faulkner,Information governance,Completed
11/10/2022,Shantelle Whiteley,Hand hygiene,Unknown
11/10/2022,Isha Lam,Information governance,Incomplete
17/09/2022,Isha Lam,Information governance,Unknown
01/09/2022,Vinnie Krueger,Hand hygiene,Completed
19/10/2022,Myrtle Hoffman,IV care,Unknown
21/10/2022,Shantelle Whiteley,Mouth care,Incomplete
25/09/2022,Kaci Braun,Information governance,Unknown
11/09/2022,Myrtle Hoffman,Mouth care,Incomplete
07/09/2022,Myrtle Hoffman,Hand hygiene,Incomplete
11/09/2022,Kendrick Gill,Hand hygiene,Completed
05/09/2022,Lynda Howells,Information governance,Complete
23/09/2022,Kendrick Gill,IV care,Unknown
14/09/2022,Bill Cantu,Mouth care,Complete
19/09/2022,Kyla Sparks,IV care,Completed
16/10/2022,Isha Lam,Mouth care,Completed
30/10/2022,Kaci Braun,Hand hygiene,Unknown
21/09/2022,Vinnie Krueger,Mouth care,Unknown
06/09/2022,Lynda Howells,IV care,Incomplete
29/09/2022,Elina Keller,Hand hygiene,Completed
17/09/2022,Kayden Orozco,Information governance,Completed
15/10/2022,Myrtle Hoffman,Hand hygiene,Unknown
30/10/2022,Vinnie Krueger,Hand hygiene,Completed
12/10/2022,Shantelle Whiteley,IV care,Unknown
18/10/2022,Kendrick Gill,Hand hygiene,Unknown
30/09/2022,Kyla Sparks,IV care,Unknown
01/10/2022,Kyla Sparks,IV care,Unknown
04/10/2022,Kaci Braun,Information governance,Unknown
10/10/2022,Bill Cantu,Information governance,Incomplete
22/09/2022,Kendrick Gill,IV care,Complete
17/10/2022,Kyla Sparks,IV care,Complete
09/09/2022,Kendrick Gill,Mouth care,Completed
30/10/2022,Kendrick Gill,Hand hygiene,Complete
02/10/2022,Isha Lam,Information governance,Complete
21/10/2022,Shantelle Whiteley,Mouth care,Unknown
25/09/2022,Kaci Braun,Hand hygiene,Unknown
10/10/2022,Kayden Orozco,Hand hygiene,Incomplete
10/09/2022,Lynda Howells,Mouth care,Incomplete
05/10/2022,Kayden Orozco,Hand hygiene,Completed
26/10/2022,Shantelle Whiteley,IV care,Complete
11/10/2022,Kendrick Gill,IV care,Incomplete
08/10/2022,Kyla Sparks,Hand hygiene,Incomplete
02/09/2022,Myrtle Hoffman,IV care,Unknown
04/09/2022,Elina Keller,Information governance,Completed
08/10/2022,Kayden Orozco,Mouth care,Unknown
31/10/2022,Kendrick Gill,IV care,Unknown
27/10/2022,Kayden Orozco,IV care,Completed
15/09/2022,Tadhg Faulkner,Mouth care,Complete
19/09/2022,Kyla Sparks,Information governance,Incomplete
12/09/2022,Kyla Sparks,Information governance,Unknown
28/10/2022,Vinnie Krueger,IV care,Complete
18/09/2022,Bill Cantu,IV care,Completed
21/09/2022,Shantelle Whiteley,Information governance,Completed
20/10/2022,Vinnie Krueger,Information governance,Complete
29/10/2022,Elina Keller,Mouth care,Complete
20/10/2022,Lynda Howells,IV care,Incomplete
29/09/2022,Tadhg Faulkner,Hand hygiene,Complete
08/10/2022,Kyla Sparks,Information governance,Unknown
05/10/2022,Kayden Orozco,Information governance,Completed
01/09/2022,Kyla Sparks,Hand hygiene,Unknown
20/10/2022,Bill Cantu,Mouth care,Complete
13/09/2022,Kayden Orozco,IV care,Incomplete
11/10/2022,Kaci Braun,Mouth care,Complete
17/10/2022,Kendrick Gill,Hand hygiene,Complete
05/10/2022,Myrtle Hoffman,Mouth care,Unknown
11/09/2022,Kyla Sparks,IV care,Completed
08/09/2022,Tadhg Faulkner,Mouth care,Unknown
01/10/2022,Vinnie Krueger,Mouth care,Unknown
24/09/2022,Kayden Orozco,IV care,Unknown
03/10/2022,Kendrick Gill,Hand hygiene,Incomplete
24/09/2022,Kendrick Gill,Hand hygiene,Complete
04/10/2022,Kaci Braun,Mouth care,Unknown
26/10/2022,Isha Lam,Mouth care,Unknown
29/10/2022,Shantelle Whiteley,Mouth care,Complete
03/10/2022,Kaci Braun,Hand hygiene,Incomplete
19/10/2022,Vinnie Krueger,Mouth care,Completed
25/09/2022,Vinnie Krueger,Hand hygiene,Completed
18/10/2022,Myrtle Hoffman,IV care,Incomplete
25/10/2022,Isha Lam,Hand hygiene,Complete
01/10/2022,Elina Keller,Mouth care,Incomplete
29/09/2022,Isha Lam,Information governance,Unknown
07/10/2022,Lynda Howells,Mouth care,Complete
30/10/2022,Kaci Braun,Mouth care,Complete
18/10/2022,Kayden Orozco,Mouth care,Complete
18/09/2022,Lynda Howells,IV care,Complete
01/10/2022,Myrtle Hoffman,IV care,Completed
07/09/2022,Kyla Sparks,Mouth care,Incomplete
26/09/2022,Kayden Orozco,Information governance,Unknown
12/09/2022,Myrtle Hoffman,IV care,Complete
28/10/2022,Tadhg Faulkner,IV care,Complete
21/09/2022,Kayden Orozco,Information governance,Incomplete
26/09/2022,Shantelle Whiteley,IV care,Unknown
19/10/2022,Kyla Sparks,Information governance,Completed
17/09/2022,Kayden Orozco,Information governance,Unknown
14/09/2022,Isha Lam,IV care,Unknown
14/09/2022,Tadhg Faulkner,Hand hygiene,Unknown
15/10/2022,Bill Cantu,Information governance,Incomplete
21/10/2022,Shantelle Whiteley,Mouth care,Complete
02/09/2022,Kendrick Gill,Information governance,Incomplete
26/09/2022,Lynda Howells,Mouth care,Complete
20/10/2022,Kendrick Gill,Mouth care,Incomplete
23/09/2022,Tadhg Faulkner,Mouth care,Complete
24/10/2022,Isha Lam,IV care,Complete
04/10/2022,Kyla Sparks,Hand hygiene,Complete
09/09/2022,Elina Keller,Mouth care,Complete
13/10/2022,Kyla Sparks,Hand hygiene,Unknown
21/10/2022,Shantelle Whiteley,Hand hygiene,Complete
15/10/2022,Kayden Orozco,IV care,Unknown
21/10/2022,Shantelle Whiteley,Mouth care,Completed
04/10/2022,Isha Lam,Mouth care,Completed
09/10/2022,Bill Cantu,Information governance,Completed
05/10/2022,Kyla Sparks,IV care,Complete
14/10/2022,Lynda Howells,Mouth care,Incomplete
01/10/2022,Vinnie Krueger,Information governance,Incomplete
14/09/2022,Shantelle Whiteley,Mouth care,Complete
03/09/2022,Kaci Braun,IV care,Unknown
22/09/2022,Vinnie Krueger,Hand hygiene,Incomplete
21/09/2022,Isha Lam,IV care,Completed
19/10/2022,Isha Lam,Mouth care,Unknown
